title,author,condition,price
The Portable Edgar Allan Poe,by Edgar Allan Poe,Like New,£13.60
The Loving Spirit,by Daphne Du Maurier,Very Good,£5.30
Hard Times,by Charles Dickens,Very Good,£3.50
The Count of Monte Cristo,by Alexandre Dumas,Very Good,£7.40
A Pelican at Blandings,by P.G. Wodehouse,Very Good,£3.50
Mary and The Wrongs of Woman,by Mary Wollstonecraft,Very Good,£6.30
Tales of the Jazz Age,by F. Scott Fitzgerald,Very Good,£3.49
The Forty Days of Musa Dagh,by Franz Werfel,Like New,£13.60
Northanger Abbey,by Jane Austen,Very Good,£4.30
The Mystery of Edwin Drood,by Charles Dickens,Very Good,£3.50
Mrs Dalloway,by Virginia Woolf,Like New,£15.70
The Tempest,by William Shakespeare,Very Good,£3.49
Great Expectations,by Charles Dickens,Very Good,£4.30
Highland River,by Neil M. Gunn,Very Good,£9.00
Baron Bagge,by Alexander Lernet-Holenia,Very Good,£6.30
"My Son, My Son",by Howard Spring,Very Good,£7.40
The Sign of the Four,by Sir Arthur Conan Doyle,Like New,£5.00
Little Women,by Louisa May Alcott,Good,£6.30
Dr Jekyll and Mr Hyde: Dyslexia-Friendly Edition,by Robert Louis Stevenson,Very Good,£6.60
Doctor Thorne,by Anthony Trollope,Very Good,£4.20
Death Threats,by Georges Simenon,Very Good,£5.80
Three Bedrooms in Manhattan,by Georges Simenon,Like New,£5.90
Fitzwilliam Darcy in His Own Words,by Micah D Hansen,Very Good,£10.90
Parade's End,by Ford Madox Ford,Like New,£10.50
The Fixed Period,by Anthony Trollope,Very Good,£10.50
Selected Tales,by Brothers Grimm,Very Good,£4.80
Promise at Dawn,by Romain Gary,Very Good,£9.99
The Metamorphosis and Other Stories,by Franz Kafka,New,£7.79
Meet Mr Mulliner,by P.G. Wodehouse,Very Good,£8.90
Uncle Silas,by J. Le Fanu,Very Good,£5.80
Plain Tales from the Hills,by Rudyard Kipling,Very Good,£3.50
The Ordeal of Gilbert Pinfold,by Evelyn Waugh,Very Good,£4.20
Home of the Gentry,by Ivan Turgenev,Good,£3.49
The Debacle,by Emile Zola,Very Good,£3.50
Wuthering Heights,by Emily Bronte,Very Good,£3.49
Money for Nothing,by P.G. Wodehouse,Very Good,£3.70
Victoria,by Knut Hamsun,Very Good,£4.80
Tristram Shandy,by Laurence Sterne,Very Good,£7.90
The Seducer's Diary,by Soren Kierkegaard,Very Good,£10.00
Persuasion,by Jane Austen,Very Good,£4.30
Oliver Twist,by Charles Dickens,Very Good,£3.49
The Woman in White,by Wilkie Collins,Very Good,£5.30
The Story of the Stone,by Cao Xueqin,Very Good,£10.90
Guignol's Band,by Louis-Ferdinand Celine,Like New,£7.60
The Glass-Blowers,by Daphne Du Maurier,Very Good,£5.00
Frankenstein (Illustrated and Annotated 1818 Edition),by Mary Wollstonecraft Shelley,Very Good,£10.90
North and South,by Elizabeth Gaskell,Very Good,£3.50
Symposium,by Muriel Spark,Very Good,£3.49
Jacob's Room,by Virginia Woolf,Very Good,£7.90
The Legend of Sleepy Hollow and Other Tales,by Washington Irving,Very Good,£10.70
"""The Turn of the Screw and Other Stories",by Henry James,Like New,£3.60
The Adventures of Tom Sawyer (Legend Classics),by Mark Twain,Very Good,£4.80
An American Tragedy,by Theodore Dreiser,Very Good,£6.90
The Death of Ivan Ilyich,by Leo Tolstoy,Very Good,£6.20
Melmoth the Wanderer,by Charles Maturin,Very Good,£8.90
Kim,by Rudyard Kipling,Very Good,£9.00
Tess of the D'Urbervilles,by Thomas Hardy,Very Good,£3.99
Dead Souls,by Nikolai Vasilievich Gogol,Very Good,£8.99
The Narrative of Arthur Gordon Pym of Nantucket and Related Tales,by Edgar Allan Poe,Very Good,£4.30
A Child of the Jago,by Arthur Morrison,Very Good,£7.40
Ben Hur,by Lewis Wallace,Very Good,£3.50
Cheri,by Colette,Very Good,£4.80
"The Life and Opinions of Tristram Shandy, Gentleman",by Laurence Sterne,Very Good,£5.80
The French Lieutenant's Woman,by John Fowles,Very Good,£3.50
The Invisible Man,by H. G. Wells,Very Good,£3.49
The Pickwick Papers,by Charles Dickens,Very Good,£3.99
The Idiot,by Fyodor Dostoyevsky,New,£9.49
Emile; or On Education,by Jean-Jacques Rousseau,Very Good,£6.90
The Complete Short Fiction,by Oscar Wilde,Very Good,£3.50
The Luzhin Defense,by Vladimir Nabokov,Very Good,£9.99
War,by Louis-Ferdinand Celine,Very Good,£12.00
Passing,by Nella Larsen,New,£6.49
Spies,by Michael Frayn,Very Good,£3.80
A Town Like Alice,by Nevil Shute,Very Good,£4.50
Candide and Other Works,by Voltaire,Very Good,£3.49
The Woodlanders,by Thomas Hardy,Very Good,£3.60
The Scarlet Letter,by Nathaniel Hawthorne,Like New,£5.00
Moll Flanders,by Daniel Defoe,Very Good,£5.30
Our Mutual Friend,by Charles Dickens,Very Good,£3.90
Pigs Have Wings,by P.G. Wodehouse,Like New,£3.50
Ivanhoe,by Sir Walter Scott,Very Good,£3.50
A Tale of Two Cities,by Charles Dickens,Very Good,£16.99
Agnes Grey,by Anne Bronte,Very Good,£3.50
Martin Chuzzlewit,by Charles Dickens,Very Good,£4.80
Heart of Darkness and Other Tales,by Joseph Conrad,Very Good,£3.50
The Magic Mountain,by Thomas Mann,Like New,£12.60
Moby-Dick,by Herman Melville,Very Good,£12.00
Burmese Days,by George Orwell,Very Good,£4.60
The Waves (Vintage Classics Woolf Series),by Virginia Woolf,Very Good,£4.80
The Diary of a Provincial Lady,by E.M. Delafield,Very Good,£4.30
Les Miserables,by Victor Hugo,Very Good,£14.00
The Nice And The Good,by Iris Murdoch,Very Good,£4.50
Silas Marner,by George Eliot,Very Good,£3.60
All Passion Spent,by Vita Sackville-West,Very Good,£6.30
Lady Macbeth of Mtsensk And Other Stories,by Nikolai Leskov,Very Good,£4.80
Daisy Miller and The Turn of the Screw,by Henry James,Very Good,£7.99
Little Women,by Louisa May Alcott,Very Good,£7.30
Selected Tales,by Jacob and Wilhelm Grimm,Very Good,£8.90
Les Miserables,by Victor Hugo,Very Good,£5.20
The Great Gatsby,by F. Scott Fitzgerald,Very Good,£4.80
Les Miserables,by Victor Hugo,Very Good,£10.00
The Canterbury Tales: A retelling by Peter Ackroyd,by Geoffrey Chaucer,Very Good,£4.80
The Meek One,by Fyodor Dostoyevsky,Very Good,£3.49
Little Women,by Louisa May Alcott,Like New,£3.70
The Glass Bead Game,by Hermann Hesse,Very Good,£4.00
Death In Venice And Other Stories,by Thomas Mann,Very Good,£3.70
Tales of Hoffmann,by E. T. A. Hoffmann,Very Good,£4.30
The Tenant of Wildfell Hall,by Anne Bronte,Well Read,£3.60
The Plague,by Albert Camus,Very Good,£6.10
Between the Acts,by Virginia Woolf,Good,£4.60
Kidnapped,by Robert Louis Stevenson,Very Good,£7.99
Candide,by Francois Voltaire,Very Good,£3.49
A Sentimental Journey Through France and Italy,by Laurence Sterne,Good,£3.50
Les Hauts de Hurle-vent,by Emily Bronte,Very Good,£8.50
The Secret Garden,by Frances Hodgson Burnett,Very Good,£3.49
Robinson Crusoe,by Daniel Defoe,Very Good,£3.99
Popular Tales of the West Highlands: v. 2,by J.F. Campbell,Good,£11.70
Adam Bede,by George Eliot,Very Good,£3.49
Penguin Authors: Thomas Hardy,by Thomas Hardy,Very Good,£3.49
A Journal of the Plague Year,by Daniel Defoe,Very Good,£3.49
Roderick Hudson,by Henry James,Good,£3.50
Northanger Abbey,by Jane Austen,Very Good,£4.80
The Gothic Tales of the Marquis de Sade,by Marquis de Sade,Good,£5.50
Robinson Crusoe,by Daniel Defoe,Very Good,£3.49
The Picture of Dorian Gray,by Oscar Wilde,Very Good,£3.50
THE Last Chronicle of Barset,by Anthony Trollope,Very Good,£3.50
Emma,by Jane Austen,Very Good,£4.80
Rebecca,by Daphne Du Maurier,Very Good,£3.50
Jock of the Bushveld,by Sir Percy Fitzpatrick,Very Good,£8.99
Sons and Lovers,by D. H. Lawrence,Well Read,£3.49
Scenes of Clerical Life,by George Eliot,Very Good,£3.49
Faithless,by Karin Slaughter,Very Good,£3.60
White Nights,by Fyodor Dostoyevsky,New,£3.89
The Outsider,by Albert Camus,New,£7.79
The Essential Kafka,by Franz Kafka,Very Good,£3.99
The Count of Monte Cristo,by Alexandre Dumas,Well Read,£3.99
The Master And Margarita,by Mikhail Bulgakov,New,£8.79
The Karamazov Brothers,by Fyodor Dostoevsky,Very Good,£3.99
Anne of Green Gables,by Lucy Montgomery,New,£5.89
White Nights,by Fyodor Dostoyevsky,New,£8.49
Metamorphosis and Other Stories,by Franz Kafka,New,£7.79
The Death of Ivan Ilyich,by Leo Tolstoy,New,£3.89
Nineteen Eighty-Four,by George Orwell,New,£14.09
Metamorphosis,by Franz Kafka,New,£8.49
Little Women,by Louisa May Alcott,New,£5.89
The Picture of Dorian Gray,by Oscar Wilde,New,£14.09
Dr Jekyll and Mr Hyde,by Robert Louis Stevenson,Very Good,£3.49
Frankenstein,by Mary Wollstonecraft Shelley,New,£5.79
Alice's Adventures in Wonderland (MinaLima Edition),by Lewis Carroll,New,£19.29
Little Women,,New,£11.89
The Romance of the Three Kingdoms,by Luo Guanzhong,New,£10.49
Nineteen Eighty-Four,by George Orwell,New,£7.79
Little Women,by Louisa May Alcott,New,£14.09
The Silmarillion,by J. R. R. Tolkien,New,£32.49
Great Expectations,by Charles Dickens,New,£14.09
The Brothers Karamazov,by Fyodor Dostoyevsky,New,£18.69
Roxana,by Daniel Defoe,New,£8.49
Peril at End House,by Agatha Christie,New,£11.79
The Original Folk and Fairy Tales of the Brothers Grimm,by Jacob Grimm,Very Good,£8.90
The Trial,by Franz Kafka,Very Good,£8.99
Jude the Obscure,by Thomas Hardy,Very Good,£3.50
"Childhood, Boyhood, Youth",by Leo Tolstoy,Very Good,£12.99
The Way We Live Now,by Anthony Trollope,Very Good,£3.99
Summer Lightning,by P.G. Wodehouse,Very Good,£3.50
The Collected Stories of Stefan Zweig,by Stefan Zweig,Like New,£9.40
Barchester Towers,by Anthony Trollope,Very Good,£7.90
Keep the Aspidistra Flying,by George Orwell,Very Good,£4.80
The Prime Minister,by Anthony Trollope,Very Good,£3.50
The Oxford Book of English Short Stories,by A. S. Byatt,Very Good,£3.50
The Complete Mapp & Lucia,by E.F. Benson,Very Good,£3.50
Ashenden,by W. Somerset Maugham,Very Good,£5.80
Orlando,by Virginia Woolf,Very Good,£6.90
Selected Stories,by Franz Kafka,Very Good,£21.50
How Much Land Does a Man Need? & Other Stories,by Leo Tolstoy,Very Good,£4.80
Daisy Miller and An International Episode,by Henry James,Very Good,£6.99
Three Japanese Short Stories,by Ryunosuke Akutagawa,Very Good,£3.49
Oblomov: New Translation,by Ivan Goncharov,Very Good,£8.40
Arabian Nights,by Sir Richard Burton,Very Good,£3.49
Journals,by Robert Falcon Scott,Very Good,£4.40
The Professor,by Charlotte Bronte,Very Good,£3.50
Herland and The Yellow Wallpaper,by Charlotte Perkins Gilman,Like New,£5.00
Frankenstein,by Mary Shelley,Good,£3.49
War and Peace,by Leo Tolstoy,Very Good,£7.90
The Odyssey,by Homer,Very Good,£4.00
To the Lighthouse,by Virginia Woolf,Very Good,£3.49
The Birds And Other Stories,by Daphne Du Maurier,Very Good,£3.90
Demons,by Fyodor Dostoevsky,Like New,£14.70
The Radetzky March,by Joseph Roth,Very Good,£8.90
Westwood,by Stella Gibbons,Very Good,£4.20
Great Expectations,by Charles Dickens,Like New,£7.99
The Picture of Dorian Gray,by Oscar Wilde,Very Good,£7.99
Pride and Prejudice,by Jane Austen,Very Good,£5.50
The Veiled Woman,by Anais Nin,Very Good,£3.49
Scenes of Clerical Life,by George Eliot,Like New,£6.60
Nicholas Nickleby,by Charles Dickens,Very Good,£3.99
First Love and Other Stories,by Ivan Turgenev,Like New,£7.80
Cheerfulness Breaks In,by Angela Thirkell,Like New,£9.99
La Bete humaine,by Emile Zola,Like New,£7.20
A Connecticut Yankee in King Arthur's Court,by Mark Twain,Very Good,£3.49
